,City,Province,City_ID,Population 2021,Land Area (sqKM)
192,Humber Arm South,Newfoundland and Labrador,2021A00051005020,1537.0,65.14
193,Irishtown-Summerside,Newfoundland and Labrador,2021A00051005030,1260.0,11.88
194,Jackson's Arm,Newfoundland and Labrador,2021A00051005005,277.0,7.07
195,Lark Harbour,Newfoundland and Labrador,2021A00051005024,508.0,12.94
196,Massey Drive,Newfoundland and Labrador,2021A00051005017,1606.0,2.45
197,McIvers,Newfoundland and Labrador,2021A00051005022,575.0,11.97
198,Meadows,Newfoundland and Labrador,2021A00051005025,404.0,3.82
199,Mount Moriah,Newfoundland and Labrador,2021A00051005033,700.0,15.71
200,Pasadena,Newfoundland and Labrador,2021A00051005012,3524.0,49.17
201,Reidville,Newfoundland and Labrador,2021A00051005009,550.0,58.28
202,Steady Brook,Newfoundland and Labrador,2021A00051005011,416.0,1.24
203,York Harbour,Newfoundland and Labrador,2021A00051005035,372.0,13.88
204,Division No.  6,Newfoundland and Labrador,2021A00031006,37339.0,16043.38
205,Appleton,Newfoundland and Labrador,2021A00051006011,620.0,6.33
206,Badger,Newfoundland and Labrador,2021A00051006026,682.0,1.89
207,Bishop's Falls,Newfoundland and Labrador,2021A00051006019,3082.0,26.38
208,Botwood,Newfoundland and Labrador,2021A00051006022,2778.0,14.56
209,Buchans,Newfoundland and Labrador,2021A00051006031,590.0,4.63
210,"Division No.  6, Subd. A",Newfoundland and Labrador,2021A00051006029,101.0,5264.73
211,"Division No.  6, Subd. C",Newfoundland and Labrador,2021A00051006014,354.0,4007.24
212,"Division No.  6, Subd. D",Newfoundland and Labrador,2021A00051006001,596.0,4180.74
213,"Division No.  6, Subd. E",Newfoundland and Labrador,2021A00051006008,175.0,2294.74
214,Gander,Newfoundland and Labrador,2021A00051006009,11880.0,104.53
215,Glenwood,Newfoundland and Labrador,2021A00051006012,739.0,7.08
216,Grand Falls-Windsor,Newfoundland and Labrador,2021A00051006017,13853.0,54.84
217,Millertown,Newfoundland and Labrador,2021A00051006028,87.0,3.08
218,Norris Arm,Newfoundland and Labrador,2021A00051006003,708.0,41.35
219,Northern Arm,Newfoundland and Labrador,2021A00051006015,371.0,24.94
220,Peterview,Newfoundland and Labrador,2021A00051006021,723.0,6.34
221,Division No.  7,Newfoundland and Labrador,2021A00031007,33044.0,9598.37
222,Bonavista,Newfoundland and Labrador,2021A00051007023,3190.0,31.56
223,Centreville-Wareham-Trinity,Newfoundland and Labrador,2021A00051007050,1116.0,37.04
224,Clarenville,Newfoundland and Labrador,2021A00051007013,6704.0,139.91
225,"Division No.  7, Subd. A",Newfoundland and Labrador,2021A00051007056,140.0,287.64
226,"Division No.  7, Subd. B",Newfoundland and Labrador,2021A00051007051,57.0,858.94
227,"Division No.  7, Subd. D",Newfoundland and Labrador,2021A00051007038,259.0,2457.85
228,"Division No.  7, Subd. E",Newfoundland and Labrador,2021A00051007031,2573.0,1631.51
229,"Division No.  7, Subd. F",Newfoundland and Labrador,2021A00051007028,831.0,296.95
230,"Division No.  7, Subd. G",Newfoundland and Labrador,2021A00051007024,316.0,144.35
231,"Division No.  7, Subd. I",Newfoundland and Labrador,2021A00051007018,80.0,170.8
232,"Division No.  7, Subd. J",Newfoundland and Labrador,2021A00051007014,577.0,272.61
233,"Division No.  7, Subd. K",Newfoundland and Labrador,2021A00051007009,1153.0,484.96
234,"Division No.  7, Subd. L",Newfoundland and Labrador,2021A00051007006,1183.0,242.89
235,"Division No.  7, Subd. M",Newfoundland and Labrador,2021A00051007001,1856.0,450.25
236,"Division No.  7, Subd. N",Newfoundland and Labrador,2021A00051007045,55.0,1402.03
237,Dover,Newfoundland and Labrador,2021A00051007057,579.0,11.12
238,Duntara,Newfoundland and Labrador,2021A00051007026,36.0,17.64
239,Eastport,Newfoundland and Labrador,2021A00051007042,527.0,18.48
240,Elliston,Newfoundland and Labrador,2021A00051007020,315.0,10.07
241,Gambo,Newfoundland and Labrador,2021A00051007047,1816.0,93.03
242,Glovertown,Newfoundland and Labrador,2021A00051007044,1948.0,69.85
243,Greenspond,Newfoundland and Labrador,2021A00051007054,257.0,2.75
244,Happy Adventure,Newfoundland and Labrador,2021A00051007041,118.0,9.62
245,Hare Bay,Newfoundland and Labrador,2021A00051007049,925.0,34.11
246,Indian Bay,Newfoundland and Labrador,2021A00051007067,172.0,86.49
247,Keels,Newfoundland and Labrador,2021A00051007025,46.0,6.67
248,King's Cove,Newfoundland and Labrador,2021A00051007027,75.0,21.44
249,Musgravetown,Newfoundland and Labrador,2021A00051007032,561.0,13.49
250,New-Wes-Valley,Newfoundland and Labrador,2021A00051007060,2044.0,132.7
251,Port Blandford,Newfoundland and Labrador,2021A00051007036,513.0,51.0
252,Port Rexton,Newfoundland and Labrador,2021A00051007016,361.0,11.64
253,Salvage,Newfoundland and Labrador,2021A00051007046,108.0,15.85
254,Sandringham,Newfoundland and Labrador,2021A00051007043,205.0,9.57
255,Sandy Cove,Newfoundland and Labrador,2021A00051007039,120.0,8.99
256,St. Brendan's,Newfoundland and Labrador,2021A00051007048,125.0,9.76
257,Terra Nova,Newfoundland and Labrador,2021A00051007040,99.0,2.44
258,Traytown,Newfoundland and Labrador,2021A00051007037,279.0,13.3
259,Trinity (Trinity Bay),Newfoundland and Labrador,2021A00051007015,76.0,12.92
260,Trinity Bay North,Newfoundland and Labrador,2021A00051007022,1649.0,26.19
261,Division No.  8,Newfoundland and Labrador,2021A00031008,33940.0,9234.94
262,Baie Verte,Newfoundland and Labrador,2021A00051008079,1311.0,371.37
263,Baytona,Newfoundland and Labrador,2021A00051008040,251.0,15.15
264,Beachside,Newfoundland and Labrador,2021A00051008066,97.0,2.58
265,Birchy Bay,Newfoundland and Labrador,2021A00051008038,511.0,49.33
266,Brent's Cove,Newfoundland and Labrador,2021A00051008077,119.0,1.02
267,Brighton,Newfoundland and Labrador,2021A00051008055,163.0,2.26
268,Burlington,Newfoundland and Labrador,2021A00051008071,304.0,4.09
