,City,Province,City_ID,Population 2021,Land Area (sqKM)
887,Berry,Quebec,2021A00052488070,535.0,575.07
888,Champneuf,Quebec,2021A00052488005,94.0,241.32
889,La Corne,Quebec,2021A00052488030,778.0,308.13
890,La Morandière,Quebec,2021A00052488015,205.0,407.35
891,La Motte,Quebec,2021A00052488045,478.0,175.48
892,Lac-Chicobi,Quebec,2021A00052488904,161.0,716.01
893,Lac-Despinassy,Quebec,2021A00052488902,21.0,1848.65
894,Landrienne,Quebec,2021A00052488035,897.0,275.93
895,Launay,Quebec,2021A00052488080,211.0,257.8
896,Pikogan,Quebec,2021A00052488802,540.0,1.0
897,Preissac,Quebec,2021A00052488090,914.0,422.13
898,Rochebaucourt,Quebec,2021A00052488010,146.0,183.63
899,Saint-Dominique-du-Rosaire,Quebec,2021A00052488065,434.0,479.89
900,Saint-Félix-de-Dalquier,Quebec,2021A00052488060,1026.0,113.15
901,Saint-Marc-de-Figuery,Quebec,2021A00052488040,868.0,80.79
902,Saint-Mathieu-d'Harricana,Quebec,2021A00052488050,770.0,105.86
903,Sainte-Gertrude-Manneville,Quebec,2021A00052488085,793.0,316.46
904,Trécesson,Quebec,2021A00052488075,1232.0,196.89
905,Abitibi-Ouest,Quebec,2021A00032487,20526.0,3312.45
906,Authier,Quebec,2021A00052487050,290.0,142.22
907,Authier-Nord,Quebec,2021A00052487100,288.0,278.05
908,Chazel,Quebec,2021A00052487095,254.0,133.55
909,Clermont,Quebec,2021A00052487110,484.0,156.66
910,Clerval,Quebec,2021A00052487075,373.0,99.17
911,Duparquet,Quebec,2021A00052487005,716.0,121.17
912,Dupuy,Quebec,2021A00052487085,940.0,122.43
913,Gallichan,Quebec,2021A00052487020,488.0,73.61
914,La Reine,Quebec,2021A00052487080,307.0,97.63
915,La Sarre,Quebec,2021A00052487090,7358.0,148.36
916,Lac-Duparquet,Quebec,2021A00052487902,0.0,113.66
917,Macamic,Quebec,2021A00052487058,2744.0,202.05
918,Normétal,Quebec,2021A00052487115,778.0,55.25
919,Palmarolle,Quebec,2021A00052487025,1386.0,117.87
920,Poularies,Quebec,2021A00052487035,662.0,168.19
921,Rapide-Danseur,Quebec,2021A00052487010,380.0,173.73
922,Rivière-Ojima,Quebec,2021A00052487904,60.0,354.47
923,Roquemaure,Quebec,2021A00052487015,409.0,120.02
924,Saint-Lambert,Quebec,2021A00052487120,191.0,99.81
925,Sainte-Germaine-Boulé,Quebec,2021A00052487030,941.0,110.04
926,Sainte-Hélène-de-Mancebourg,Quebec,2021A00052487070,410.0,68.15
927,Taschereau,Quebec,2021A00052487042,898.0,246.97
928,Val-Saint-Gilles,Quebec,2021A00052487105,169.0,109.39
929,Acton,Quebec,2021A00032448,15654.0,579.64
930,Acton Vale,Quebec,2021A00052448028,7605.0,91.01
931,Béthanie,Quebec,2021A00052448005,350.0,47.01
932,Roxton,Quebec,2021A00052448015,1115.0,148.93
933,Roxton Falls,Quebec,2021A00052448010,1322.0,4.94
934,Saint-Nazaire-d'Acton,Quebec,2021A00052448050,880.0,58.04
935,Saint-Théodore-d'Acton,Quebec,2021A00052448045,1564.0,82.82
936,Sainte-Christine,Quebec,2021A00052448020,772.0,92.12
937,Upton,Quebec,2021A00052448038,2046.0,54.77
938,Antoine-Labelle,Quebec,2021A00032479,36462.0,14809.85
939,Baie-des-Chaloupes,Quebec,2021A00052479920,0.0,890.15
940,Chute-Saint-Philippe,Quebec,2021A00052479065,1039.0,298.64
941,Ferme-Neuve,Quebec,2021A00052479097,2716.0,786.19
942,Kiamika,Quebec,2021A00052479025,790.0,337.53
943,L'Ascension,Quebec,2021A00052479050,899.0,334.82
944,La Macaza,Quebec,2021A00052479047,1094.0,161.42
945,Lac-Akonapwehikan,Quebec,2021A00052479904,0.0,7.54
946,Lac-Bazinet,Quebec,2021A00052479910,0.0,1536.22
947,Lac-De La Bidière,Quebec,2021A00052479912,0.0,1530.44
948,Lac-Douaire,Quebec,2021A00052479922,5.0,1957.99
949,Lac-Ernest,Quebec,2021A00052479924,0.0,339.3
950,Lac-Marguerite,Quebec,2021A00052479926,0.0,803.59
951,Lac-Oscar,Quebec,2021A00052479914,0.0,1667.85
952,Lac-Saguay,Quebec,2021A00052479060,526.0,171.88
953,Lac-Saint-Paul,Quebec,2021A00052479105,525.0,170.72
954,Lac-Wagwabika,Quebec,2021A00052479906,0.0,4.13
955,Lac-de-la-Maison-de-Pierre,Quebec,2021A00052479916,0.0,472.88
956,Lac-de-la-Pomme,Quebec,2021A00052479902,0.0,50.27
957,Lac-des-Écorces,Quebec,2021A00052479078,2885.0,144.3
958,Lac-du-Cerf,Quebec,2021A00052479015,445.0,71.73
959,Mont-Laurier,Quebec,2021A00052479088,14180.0,587.42
960,Mont-Saint-Michel,Quebec,2021A00052479110,581.0,138.16
961,Nominingue,Quebec,2021A00052479030,2255.0,303.89
962,Notre-Dame-de-Pontmain,Quebec,2021A00052479010,790.0,259.9
963,Notre-Dame-du-Laus,Quebec,2021A00052479005,1730.0,849.1
964,Rivière-Rouge,Quebec,2021A00052479037,4631.0,451.43
965,Saint-Aimé-du-Lac-des-Îles,Quebec,2021A00052479022,815.0,161.61
966,Sainte-Anne-du-Lac,Quebec,2021A00052479115,556.0,320.73
967,Argenteuil,Quebec,2021A00032476,34752.0,1234.69
968,Brownsburg-Chatham,Quebec,2021A00052476043,7247.0,244.46
969,Gore,Quebec,2021A00052476025,2283.0,90.04
970,Grenville,Quebec,2021A00052476055,1816.0,2.82
971,Grenville-sur-la-Rouge,Quebec,2021A00052476052,2883.0,313.61
972,Harrington,Quebec,2021A00052476065,967.0,233.65
973,Lachute,Quebec,2021A00052476020,14100.0,108.66
974,Mille-Isles,Quebec,2021A00052476030,1721.0,58.73
975,Saint-André-d'Argenteuil,Quebec,2021A00052476008,3053.0,97.69
976,Wentworth,Quebec,2021A00052476035,682.0,85.03
977,Arthabaska,Quebec,2021A00032439,74348.0,1887.09
978,Chesterville,Quebec,2021A00052439030,877.0,116.72
979,Daveluyville,Quebec,2021A00052439152,2360.0,61.71
980,Ham-Nord,Quebec,2021A00052439010,857.0,103.98
981,Kingsey Falls,Quebec,2021A00052439097,1986.0,69.36
982,Maddington Falls,Quebec,2021A00052439165,428.0,23.82
983,Notre-Dame-de-Ham,Quebec,2021A00052439015,414.0,31.05
984,Saint-Albert,Quebec,2021A00052439085,1640.0,69.43
985,Saint-Christophe-d'Arthabaska,Quebec,2021A00052439060,3111.0,68.96
986,Saint-Louis-de-Blandford,Quebec,2021A00052439170,1076.0,104.36
987,Saint-Norbert-d'Arthabaska,Quebec,2021A00052439043,1247.0,102.98
988,Saint-Rosaire,Quebec,2021A00052439145,932.0,109.53
989,Saint-Rémi-de-Tingwick,Quebec,2021A00052439020,446.0,72.97
990,Saint-Samuel,Quebec,2021A00052439130,765.0,43.21
991,Saint-Valère,Quebec,2021A00052439135,1188.0,108.1
992,Sainte-Clotilde-de-Horton,Quebec,2021A00052439117,1563.0,114.66
993,Sainte-Hélène-de-Chester,Quebec,2021A00052439035,384.0,83.72
994,Sainte-Séraphine,Quebec,2021A00052439105,441.0,75.86
995,Sainte-Élizabeth-de-Warwick,Quebec,2021A00052439090,383.0,51.87
996,Saints-Martyrs-Canadiens,Quebec,2021A00052439005,277.0,111.4
997,Tingwick,Quebec,2021A00052439025,1484.0,169.48
998,Victoriaville,Quebec,2021A00052439062,47760.0,84.33
999,Warwick,Quebec,2021A00052439077,4729.0,109.6
1000,Avignon,Quebec,2021A00032406,13415.0,3487.37
1001,Carleton-sur-Mer,Quebec,2021A00052406013,4081.0,221.48
1002,Escuminac,Quebec,2021A00052406025,575.0,108.7
1003,Gesgapegiag,Quebec,2021A00052406802,637.0,2.2
1004,L'Ascension-de-Patapédia,Quebec,2021A00052406060,148.0,95.98
1005,Listuguj,Quebec,2021A00052406804,,44.23
1006,Maria,Quebec,2021A00052406005,2760.0,94.88
1007,Matapédia,Quebec,2021A00052406045,566.0,71.59
1008,Nouvelle,Quebec,2021A00052406020,1782.0,234.66
1009,Pointe-à-la-Croix,Quebec,2021A00052406030,1344.0,390.73
1010,Ristigouche-Partie-Sud-Est,Quebec,2021A00052406035,170.0,51.76
1011,Rivière-Nouvelle,Quebec,2021A00052406902,0.0,1087.6
1012,Ruisseau-Ferguson,Quebec,2021A00052406904,0.0,675.94
1013,Saint-Alexis-de-Matapédia,Quebec,2021A00052406050,519.0,84.91
1014,Saint-André-de-Restigouche,Quebec,2021A00052406040,154.0,143.37
1015,Saint-François-d'Assise,Quebec,2021A00052406055,679.0,179.34
1016,Beauce-Sartigan,Quebec,2021A00032429,53384.0,1952.73
1017,La Guadeloupe,Quebec,2021A00052429030,1805.0,32.84
1018,Lac-Poulin,Quebec,2021A00052429095,171.0,0.88
1019,Notre-Dame-des-Pins,Quebec,2021A00052429120,1812.0,24.09
1020,Saint-Benoît-Labre,Quebec,2021A00052429100,1617.0,85.65
1021,Saint-Côme--Linière,Quebec,2021A00052429057,3278.0,150.45
1022,Saint-Georges,Quebec,2021A00052429073,32935.0,199.08
1023,Saint-Gédéon-de-Beauce,Quebec,2021A00052429013,2093.0,197.37
1024,Saint-Hilaire-de-Dorset,Quebec,2021A00052429020,96.0,186.77
1025,Saint-Honoré-de-Shenley,Quebec,2021A00052429038,1555.0,133.96
1026,Saint-Martin,Quebec,2021A00052429045,2588.0,118.0
1027,Saint-Philibert,Quebec,2021A00052429065,379.0,57.16
1028,Saint-René,Quebec,2021A00052429050,946.0,61.54
1029,Saint-Simon-les-Mines,Quebec,2021A00052429125,573.0,47.43
1030,Saint-Théophile,Quebec,2021A00052429005,702.0,427.78
1031,Saint-Éphrem-de-Beauce,Quebec,2021A00052429112,2323.0,118.9
1032,Saint-Évariste-de-Forsyth,Quebec,2021A00052429025,511.0,110.85
1033,Beauharnois-Salaberry,Quebec,2021A00032470,68322.0,468.48
1034,Beauharnois,Quebec,2021A00052470022,13638.0,68.22
1035,Saint-Louis-de-Gonzague,Quebec,2021A00052470035,1950.0,77.04
1036,Saint-Stanislas-de-Kostka,Quebec,2021A00052470040,1852.0,57.69
1037,Saint-Urbain-Premier,Quebec,2021A00052470005,1332.0,53.28
1038,Saint-Étienne-de-Beauharnois,Quebec,2021A00052470030,1099.0,40.63
1039,Sainte-Martine,Quebec,2021A00052470012,5664.0,63.06
1040,Salaberry-de-Valleyfield,Quebec,2021A00052470052,42787.0,108.56
1041,Bellechasse,Quebec,2021A00032419,38000.0,1749.91
1042,Armagh,Quebec,2021A00052419037,1439.0,167.99
1043,Beaumont,Quebec,2021A00052419105,2968.0,44.57
1044,Honfleur,Quebec,2021A00052419070,881.0,50.67
1045,La Durantaye,Quebec,2021A00052419090,782.0,34.99
1046,Notre-Dame-Auxiliatrice-de-Buckland,Quebec,2021A00052419010,767.0,94.71
1047,Saint-Anselme,Quebec,2021A00052419062,4047.0,74.22
1048,Saint-Charles-de-Bellechasse,Quebec,2021A00052419097,2583.0,93.3
1049,Saint-Damien-de-Buckland,Quebec,2021A00052419030,1893.0,82.04
1050,Saint-Gervais,Quebec,2021A00052419075,2138.0,89.33
1051,Saint-Henri,Quebec,2021A00052419068,5813.0,122.61
1052,Saint-Lazare-de-Bellechasse,Quebec,2021A00052419050,1332.0,85.93
1053,Saint-Léon-de-Standon,Quebec,2021A00052419020,1042.0,136.88
1054,Saint-Malachie,Quebec,2021A00052419025,1667.0,101.07
1055,Saint-Michel-de-Bellechasse,Quebec,2021A00052419110,1871.0,43.08
1056,Saint-Nazaire-de-Dorchester,Quebec,2021A00052419015,338.0,51.56
1057,Saint-Nérée-de-Bellechasse,Quebec,2021A00052419045,744.0,75.76
1058,Saint-Philémon,Quebec,2021A00052419005,680.0,146.51
1059,Saint-Raphaël,Quebec,2021A00052419082,2458.0,121.69
1060,Saint-Vallier,Quebec,2021A00052419117,1031.0,44.88
1061,Sainte-Claire,Quebec,2021A00052419055,3526.0,88.14
1062,Bonaventure,Quebec,2021A00032405,17557.0,4379.46
1063,Bonaventure,Quebec,2021A00052405045,2733.0,104.5
1064,Caplan,Quebec,2021A00052405060,1966.0,85.69
1065,Cascapédia--Saint-Jules,Quebec,2021A00052405077,764.0,164.29
1066,Hope,Quebec,2021A00052405025,584.0,70.55
1067,Hope Town,Quebec,2021A00052405020,334.0,51.26
1068,New Carlisle,Quebec,2021A00052405040,1336.0,67.99
1069,New Richmond,Quebec,2021A00052405070,3683.0,172.5
1070,Paspébiac,Quebec,2021A00052405032,3033.0,94.98
1071,Rivière-Bonaventure,Quebec,2021A00052405902,59.0,3054.37
1072,Saint-Alphonse,Quebec,2021A00052405065,711.0,112.09
1073,Saint-Elzéar,Quebec,2021A00052405050,464.0,204.16
1074,Saint-Godefroi,Quebec,2021A00052405015,350.0,63.57
1075,Saint-Siméon,Quebec,2021A00052405055,1207.0,56.71
1076,Shigawake,Quebec,2021A00052405010,333.0,76.82
1077,Brome-Missisquoi,Quebec,2021A00032446,64786.0,1650.2
1078,Abercorn,Quebec,2021A00052446005,341.0,26.72
1079,Bedford,Quebec,2021A00052446035,2558.0,4.23
1080,Bedford,Quebec,2021A00052446040,658.0,31.96
1081,Bolton-Ouest,Quebec,2021A00052446065,732.0,100.94
1082,Brigham,Quebec,2021A00052446090,2282.0,86.92
1083,Brome,Quebec,2021A00052446070,341.0,11.56
1084,Bromont,Quebec,2021A00052446078,11357.0,114.05
1085,Cowansville,Quebec,2021A00052446080,15234.0,46.87
1086,Dunham,Quebec,2021A00052446050,3599.0,193.86
1087,East Farnham,Quebec,2021A00052446085,612.0,5.02
1088,Farnham,Quebec,2021A00052446112,10149.0,92.12
1089,Frelighsburg,Quebec,2021A00052446010,1123.0,123.31
1090,Lac-Brome,Quebec,2021A00052446075,5923.0,206.9
1091,Notre-Dame-de-Stanbridge,Quebec,2021A00052446100,691.0,43.89
1092,Pike River,Quebec,2021A00052446025,503.0,40.77
1093,Saint-Armand,Quebec,2021A00052446017,1228.0,83.16
1094,Saint-Ignace-de-Stanbridge,Quebec,2021A00052446095,677.0,69.42
1095,Sainte-Sabine,Quebec,2021A00052446105,1105.0,55.33
1096,Stanbridge East,Quebec,2021A00052446045,834.0,49.41
1097,Stanbridge Station,Quebec,2021A00052446030,291.0,18.07
1098,Sutton,Quebec,2021A00052446058,4548.0,245.69
1099,Bécancour,Quebec,2021A00032438,20748.0,1143.13
1100,Bécancour,Quebec,2021A00052438010,13561.0,439.54
1101,Deschaillons-sur-Saint-Laurent,Quebec,2021A00052438070,906.0,36.51
1102,Fortierville,Quebec,2021A00052438047,660.0,44.55
1103,Lemieux,Quebec,2021A00052438020,292.0,74.6
1104,Manseau,Quebec,2021A00052438028,807.0,104.48
1105,Parisville,Quebec,2021A00052438055,396.0,35.58
1106,Saint-Pierre-les-Becquets,Quebec,2021A00052438065,1183.0,48.14
1107,Saint-Sylvère,Quebec,2021A00052438005,786.0,86.3
1108,Sainte-Cécile-de-Lévrard,Quebec,2021A00052438060,349.0,32.32
1109,Sainte-Françoise,Quebec,2021A00052438035,467.0,87.02
1110,Sainte-Marie-de-Blandford,Quebec,2021A00052438015,443.0,69.3
1111,Sainte-Sophie-de-Lévrard,Quebec,2021A00052438040,704.0,84.05
1112,Wôlinak,Quebec,2021A00052438802,194.0,0.74
1113,Charlevoix,Quebec,2021A00032416,13371.0,3736.8
1114,Baie-Saint-Paul,Quebec,2021A00052416013,7371.0,545.85
1115,L'Isle-aux-Coudres,Quebec,2021A00052416023,1116.0,29.46
1116,Lac-Pikauba,Quebec,2021A00052416902,0.0,2440.54
1117,Les Éboulements,Quebec,2021A00052416048,1465.0,156.19
1118,Petite-Rivière-Saint-François,Quebec,2021A00052416005,953.0,133.89
1119,Saint-Hilarion,Quebec,2021A00052416050,1146.0,100.3
1120,Saint-Urbain,Quebec,2021A00052416055,1320.0,330.57
1121,Charlevoix-Est,Quebec,2021A00032415,15409.0,2288.97
1122,Baie-Sainte-Catherine,Quebec,2021A00052415065,184.0,232.89
1123,Clermont,Quebec,2021A00052415035,3065.0,51.53
1124,La Malbaie,Quebec,2021A00052415013,8235.0,458.19
1125,Mont-Élie,Quebec,2021A00052415902,51.0,851.18
1126,Notre-Dame-des-Monts,Quebec,2021A00052415025,789.0,57.93
1127,Sagard,Quebec,2021A00052415904,110.0,204.59
1128,Saint-Aimé-des-Lacs,Quebec,2021A00052415030,1158.0,91.61
1129,Saint-Irénée,Quebec,2021A00052415005,678.0,59.92
1130,Saint-Siméon,Quebec,2021A00052415058,1139.0,281.14
1131,Coaticook,Quebec,2021A00032444,18906.0,1338.86
1132,Barnston-Ouest,Quebec,2021A00052444045,546.0,99.36
1133,Coaticook,Quebec,2021A00052444037,8867.0,219.45
1134,Compton,Quebec,2021A00052444071,3270.0,206.58
1135,Dixville,Quebec,2021A00052444023,732.0,76.56
1136,East Hereford,Quebec,2021A00052444010,282.0,72.1
1137,Martinville,Quebec,2021A00052444060,441.0,47.66
1138,Saint-Herménégilde,Quebec,2021A00052444015,690.0,166.15
1139,Saint-Malo,Quebec,2021A00052444003,514.0,131.83
1140,Saint-Venant-de-Paquette,Quebec,2021A00052444005,69.0,58.75
1141,Sainte-Edwidge-de-Clifton,Quebec,2021A00052444055,546.0,101.84
1142,Stanstead-Est,Quebec,2021A00052444050,642.0,114.54
1143,Waterville,Quebec,2021A00052444080,2307.0,44.03
1144,Communauté maritime des Îles-de-la-Madeleine,Quebec,2021A00032401,12654.0,187.33
1145,Grosse-Île,Quebec,2021A00052401042,464.0,32.28
1146,Les Îles-de-la-Madeleine,Quebec,2021A00052401023,12190.0,155.06
1147,D'Autray,Quebec,2021A00032452,44080.0,1234.67
1148,Berthierville,Quebec,2021A00052452035,4386.0,6.77
1149,La Visitation-de-l'Île-Dupas,Quebec,2021A00052452050,684.0,28.15
1150,Lanoraie,Quebec,2021A00052452017,5134.0,102.74
1151,Lavaltrie,Quebec,2021A00052452007,14425.0,68.22
1152,Mandeville,Quebec,2021A00052452095,2363.0,318.21
1153,Saint-Barthélemy,Quebec,2021A00052452055,2087.0,105.36
1154,Saint-Cléophas-de-Brandon,Quebec,2021A00052452075,254.0,15.34
1155,Saint-Cuthbert,Quebec,2021A00052452062,1821.0,131.72
1156,Saint-Didace,Quebec,2021A00052452090,688.0,99.6
1157,Saint-Gabriel,Quebec,2021A00052452080,2803.0,2.81
1158,Saint-Gabriel-de-Brandon,Quebec,2021A00052452085,2684.0,99.23
1159,Saint-Ignace-de-Loyola,Quebec,2021A00052452045,2048.0,31.9
1160,Saint-Norbert,Quebec,2021A00052452070,1060.0,74.6
1161,Sainte-Geneviève-de-Berthier,Quebec,2021A00052452040,2253.0,67.03
1162,Sainte-Élisabeth,Quebec,2021A00052452030,1390.0,83.0
1163,Deux-Montagnes,Quebec,2021A00032472,102052.0,242.88
1164,Deux-Montagnes,Quebec,2021A00052472010,17915.0,6.08
1165,Kanesatake,Quebec,2021A00052472802,,11.86
1166,Oka,Quebec,2021A00052472032,3968.0,56.99
1167,Pointe-Calumet,Quebec,2021A00052472020,6281.0,4.59
1168,Saint-Eustache,Quebec,2021A00052472005,45276.0,70.51
1169,Saint-Joseph-du-Lac,Quebec,2021A00052472025,7031.0,41.22
1170,Saint-Placide,Quebec,2021A00052472043,1784.0,42.89
1171,Sainte-Marthe-sur-le-Lac,Quebec,2021A00052472015,19797.0,8.73
1172,Drummond,Quebec,2021A00032449,107967.0,1599.1
1173,Drummondville,Quebec,2021A00052449058,79258.0,247.11
1174,Durham-Sud,Quebec,2021A00052449015,1051.0,92.64
1175,L'Avenir,Quebec,2021A00052449025,1350.0,97.59
1176,Lefebvre,Quebec,2021A00052449020,925.0,66.18
1177,Notre-Dame-du-Bon-Conseil,Quebec,2021A00052449075,1708.0,4.2
1178,Notre-Dame-du-Bon-Conseil,Quebec,2021A00052449080,885.0,87.49
1179,Saint-Bonaventure,Quebec,2021A00052449125,1066.0,78.72
1180,Saint-Cyrille-de-Wendover,Quebec,2021A00052449070,4920.0,110.2
1181,Saint-Edmond-de-Grantham,Quebec,2021A00052449100,804.0,48.29
1182,Saint-Eugène,Quebec,2021A00052449105,1139.0,75.84
1183,Saint-Félix-de-Kingsey,Quebec,2021A00052449005,1493.0,126.28
1184,Saint-Germain-de-Grantham,Quebec,2021A00052449048,4922.0,87.47
1185,Saint-Guillaume,Quebec,2021A00052449113,1491.0,87.91
1186,Saint-Lucien,Quebec,2021A00052449030,1801.0,110.99
1187,Saint-Majorique-de-Grantham,Quebec,2021A00052449095,1384.0,57.5
1188,Saint-Pie-de-Guire,Quebec,2021A00052449130,446.0,51.27
1189,Sainte-Brigitte-des-Saults,Quebec,2021A00052449085,737.0,70.79
1190,Wickham,Quebec,2021A00052449040,2587.0,98.63
1191,Francheville,Quebec,2021A00032437,158343.0,1160.67
1192,Batiscan,Quebec,2021A00052437210,958.0,43.25
1193,Champlain,Quebec,2021A00052437220,1807.0,58.17
1194,Notre-Dame-du-Mont-Carmel,Quebec,2021A00052437235,6121.0,128.29
1195,Saint-Luc-de-Vincennes,Quebec,2021A00052437225,519.0,53.78
1196,Saint-Maurice,Quebec,2021A00052437230,3432.0,91.36
1197,Saint-Narcisse,Quebec,2021A00052437240,1801.0,106.74
1198,Saint-Prosper-de-Champlain,Quebec,2021A00052437250,482.0,94.11
1199,Saint-Stanislas,Quebec,2021A00052437245,1001.0,89.38
1200,Sainte-Anne-de-la-Pérade,Quebec,2021A00052437205,2031.0,109.28
1201,Sainte-Geneviève-de-Batiscan,Quebec,2021A00052437215,1028.0,97.65
1202,Trois-Rivières,Quebec,2021A00052437067,139163.0,288.65
1203,Gatineau,Quebec,2021A00032481,291041.0,341.84
1204,Gatineau,Quebec,2021A00052481017,291041.0,341.84
1205,Joliette,Quebec,2021A00032461,71124.0,417.41
1206,Crabtree,Quebec,2021A00052461013,4155.0,25.06
1207,Joliette,Quebec,2021A00052461025,21384.0,22.96
1208,Notre-Dame-de-Lourdes,Quebec,2021A00052461045,3141.0,35.59
1209,Notre-Dame-des-Prairies,Quebec,2021A00052461030,9471.0,18.1
1210,Saint-Ambroise-de-Kildare,Quebec,2021A00052461040,4090.0,67.73
1211,Saint-Charles-Borromée,Quebec,2021A00052461035,15285.0,18.48
1212,Saint-Paul,Quebec,2021A00052461005,6566.0,49.11
1213,Saint-Pierre,Quebec,2021A00052461020,286.0,9.68
1214,Saint-Thomas,Quebec,2021A00052461027,3496.0,94.57
1215,Sainte-Mélanie,Quebec,2021A00052461050,3250.0,76.1
1216,Kamouraska,Quebec,2021A00032414,21307.0,2241.05
1217,Kamouraska,Quebec,2021A00052414050,607.0,44.07
1218,La Pocatière,Quebec,2021A00052414085,4078.0,21.18
1219,Mont-Carmel,Quebec,2021A00052414005,1160.0,428.26
1220,Petit-Lac-Sainte-Anne,Quebec,2021A00052414904,0.0,186.42
1221,Picard,Quebec,2021A00052414902,5.0,568.1
1222,Rivière-Ouelle,Quebec,2021A00052414065,995.0,57.5
1223,Saint-Alexandre-de-Kamouraska,Quebec,2021A00052414035,2255.0,111.4
1224,Saint-André-de-Kamouraska,Quebec,2021A00052414040,658.0,71.06
1225,Saint-Bruno-de-Kamouraska,Quebec,2021A00052414010,515.0,188.44
1226,Saint-Denis-De La Bouteillerie,Quebec,2021A00052414055,518.0,33.84
1227,Saint-Gabriel-Lalemant,Quebec,2021A00052414075,660.0,77.92
1228,Saint-Germain,Quebec,2021A00052414045,294.0,28.53
1229,Saint-Joseph-de-Kamouraska,Quebec,2021A00052414030,398.0,84.96
1230,Saint-Onésime-d'Ixworth,Quebec,2021A00052414080,522.0,102.76
1231,Saint-Pacôme,Quebec,2021A00052414070,1806.0,29.06
1232,Saint-Pascal,Quebec,2021A00052414018,3530.0,59.68
1233,Saint-Philippe-de-Néri,Quebec,2021A00052414060,818.0,32.65
1234,Sainte-Anne-de-la-Pocatière,Quebec,2021A00052414090,1597.0,54.78
1235,Sainte-Hélène-de-Kamouraska,Quebec,2021A00052414025,891.0,60.46
1236,L'Assomption,Quebec,2021A00032460,128087.0,255.16
1237,Charlemagne,Quebec,2021A00052460005,6302.0,2.17
1238,L'Assomption,Quebec,2021A00052460028,23442.0,98.74
1239,L'Épiphanie,Quebec,2021A00052460037,8883.0,56.57
1240,Repentigny,Quebec,2021A00052460013,86100.0,61.52
1241,Saint-Sulpice,Quebec,2021A00052460020,3360.0,36.17
1242,L'Islet,Quebec,2021A00032417,17598.0,2097.09
1243,L'Islet,Quebec,2021A00052417078,3803.0,119.95
1244,Saint-Adalbert,Quebec,2021A00052417015,460.0,216.16
1245,Saint-Aubert,Quebec,2021A00052417055,1441.0,98.45
1246,Saint-Cyrille-de-Lessard,Quebec,2021A00052417045,742.0,230.52
1247,Saint-Damase-de-L'Islet,Quebec,2021A00052417040,563.0,247.64
1248,Saint-Jean-Port-Joli,Quebec,2021A00052417070,3329.0,69.31
1249,Saint-Marcel,Quebec,2021A00052417020,422.0,178.83
1250,Saint-Omer,Quebec,2021A00052417005,294.0,122.44
1251,Saint-Pamphile,Quebec,2021A00052417010,2274.0,137.78
1252,Saint-Roch-des-Aulnaies,Quebec,2021A00052417065,955.0,49.14
1253,Sainte-Félicité,Quebec,2021A00052417025,350.0,94.89
1254,Sainte-Louise,Quebec,2021A00052417060,674.0,76.59
1255,Sainte-Perpétue,Quebec,2021A00052417030,1715.0,291.04
1256,Tourville,Quebec,2021A00052417035,576.0,164.36
1257,L'Érable,Quebec,2021A00032432,23534.0,1287.03
1258,Inverness,Quebec,2021A00052432058,910.0,176.11
1259,Laurierville,Quebec,2021A00052432072,1313.0,107.91
1260,Lyster,Quebec,2021A00052432065,1587.0,167.55
1261,Notre-Dame-de-Lourdes,Quebec,2021A00052432080,787.0,81.39
1262,Plessisville,Quebec,2021A00052432040,6414.0,4.92
1263,Plessisville,Quebec,2021A00052432045,2655.0,141.19
1264,Princeville,Quebec,2021A00052432033,6218.0,195.01
1265,Saint-Ferdinand,Quebec,2021A00052432013,2007.0,137.16
1266,Saint-Pierre-Baptiste,Quebec,2021A00052432050,560.0,81.77
1267,Sainte-Sophie-d'Halifax,Quebec,2021A00052432023,595.0,92.13
1268,Villeroy,Quebec,2021A00052432085,488.0,101.9
1269,L'Île-d'Orléans,Quebec,2021A00032420,6817.0,194.58
1270,Saint-François-de-l'Île-d'Orléans,Quebec,2021A00052420005,536.0,28.96
1271,Saint-Jean-de-l'Île-d'Orléans,Quebec,2021A00052420015,1026.0,43.48
1272,Saint-Laurent-de-l'Île-d'Orléans,Quebec,2021A00052420020,1607.0,35.64
1273,Saint-Pierre-de-l'Île-d'Orléans,Quebec,2021A00052420025,1743.0,31.64
1274,Sainte-Famille-de-l'Île-d'Orléans,Quebec,2021A00052420010,850.0,50.54
1275,Sainte-Pétronille,Quebec,2021A00052420030,1055.0,4.32
1276,La Côte-de-Beaupré,Quebec,2021A00032421,30240.0,4845.19
1277,Beaupré,Quebec,2021A00052421025,4117.0,22.97
1278,Boischatel,Quebec,2021A00052421045,8231.0,20.36
1279,Château-Richer,Quebec,2021A00052421035,4425.0,228.84
1280,L'Ange-Gardien,Quebec,2021A00052421040,3842.0,53.61
1281,Lac-Jacques-Cartier,Quebec,2021A00052421904,0.0,4131.62
1282,Saint-Ferréol-les-Neiges,Quebec,2021A00052421010,3806.0,83.18
1283,Saint-Joachim,Quebec,2021A00052421020,1427.0,42.33
1284,Saint-Louis-de-Gonzague-du-Cap-Tourmente,Quebec,2021A00052421015,0.0,0.42
1285,Saint-Tite-des-Caps,Quebec,2021A00052421005,1504.0,129.3
1286,Sainte-Anne-de-Beaupré,Quebec,2021A00052421030,2888.0,62.38
1287,Sault-au-Cochon,Quebec,2021A00052421902,0.0,70.18
