,ID,Fuel Type Code,City,Province,Country,ZIP,Status Code
158,83116,ELEC,Winnipeg,MB,CA,R3P 2K9,E
159,83117,ELEC,Winnipeg,MB,CA,R3H 1B2,E
160,83119,ELEC,Saint-Pamphile,QC,CA,G0R 3X0,E
161,83120,ELEC,Winnipeg,MB,CA,R2V 4G6,E
162,83121,ELEC,Winnipeg,MB,CA,R2V 4G6,E
163,83122,ELEC,Carleton,QC,CA,G0C 1J0,E
164,83123,ELEC,Montmagny,QC,CA,G5V 1C2,E
165,83124,ELEC,Tecumseh,ON,CA,N8R 1A2,E
167,83126,ELEC,Chatham,ON,CA,N7L 4L3,E
168,83128,ELEC,Rouyn-Noranda,QC,CA,J9X 7A6,E
169,83129,ELEC,Rouyn-Noranda,QC,CA,J9X 7A6,E
170,83130,ELEC,Sudbury,ON,CA,P3A 4M9,E
171,83133,ELEC,Orangeville,ON,CA,L9W 2Y9,E
172,83134,ELEC,Orillia,ON,CA,L3V 8B3,E
173,83135,ELEC,Winnipeg,MB,CA,R3P 2N7,E
174,83138,ELEC,Kemptville,ON,CA,K0G 1J0,E
175,83139,ELEC,Winnipeg,MB,CA,R3B 0V1,E
176,83141,ELEC,Winnipeg,MB,CA,R3T 5V7,E
177,83142,ELEC,Embrun,ON,CA,K0A 1W0,E
178,83145,ELEC,Fort Frances,ON,CA,P9A 3M3,E
179,83146,ELEC,Swan River,MB,CA,R0L 1Z0,E
182,83151,ELEC,Baie St-Paul,QC,CA,G3Z 2J6,E
183,83153,ELEC,La Malbaie,QC,CA,G5A 1T1,E
185,83156,ELEC,Vaughan,ON,CA,L4L 7Y6,T
187,83160,ELEC,Essex,ON,CA,N8M 2X5,E
188,83162,ELEC,West Kirkland Lake,ON,CA,P2N 3K4,E
191,83168,ELEC,Dauphin,MB,CA,R7N 3B3,E
193,83170,ELEC,Swan River,MB,CA,R0L 1Z0,E
199,83182,ELEC,Queenston,ON,CA,L0S 1L0,E
201,83184,ELEC,Kincardine,ON,CA,N2Z 3A2,E
202,83186,ELEC,Whitby,ON,CA,L1N 7T2,E
203,83191,ELEC,Walton,ON,CA,N0K 1Z0,E
204,83192,ELEC,La Pocatiere,QC,CA,G0R 1Z0,E
205,83195,ELEC,Trois-Pistoles,QC,CA,G0L 4K0,E
206,83196,ELEC,Casselman,ON,CA,K0A 1M0,E
207,83198,ELEC,Komoka,ON,CA,N0L 1R0,E
208,83199,ELEC,Ailsa Craig,ON,CA,N0M 1A0,E
209,83201,ELEC,Mitchell,ON,CA,N0K 1N0,E
211,83203,ELEC,Fort Erie,ON,CA,L2A 1B1,E
214,83207,ELEC,Gatineau,QC,CA,J8X 2L3,E
215,83208,ELEC,Lac-Megantic,QC,CA,G6B 2M9,E
217,83210,ELEC,Gatineau,QC,CA,J8X 4A6,E
218,83211,ELEC,Rimouski,QC,CA,G5L 5C7,E
219,83212,ELEC,St-Jean-Port-Joli,QC,CA,G0R 3G0,E
220,83213,ELEC,St-Joseph-de-Beauce,QC,CA,G0S 2V0,E
222,83218,ELEC,Newmarket,ON,CA,L3Y 8W1,E
223,83221,ELEC,Gatineau,QC,CA,J8X 4B6,E
224,83223,ELEC,Gatineau,QC,CA,J8X 2C6,E
225,83225,ELEC,Barrie,ON,CA,L4M 5A2,E
226,83226,ELEC,Leamington,ON,CA,N8H 3V4,E
227,83227,ELEC,Thunder Bay,ON,CA,P7B 7B4,E
228,83228,ELEC,Thunder Bay,ON,CA,P7B 7B4,E
229,83230,ELEC,Dorchester,ON,CA,N0L 1G0,E
230,83231,ELEC,St-Alexandre,QC,CA,G0L 2G0,E
231,83232,ELEC,Kingston,ON,CA,K7P 0C7,E
232,83233,ELEC,Napanee,ON,CA,K7R 3L2,E
233,83236,ELEC,Milton,ON,CA,L9T 1Y2,E
235,83241,ELEC,St-Pascal,QC,CA,G0L 3Y0,E
236,83242,ELEC,St-Pascal,QC,CA,G0L 3Y0,E
237,83244,ELEC,Blind River,ON,CA,P0R 1B0,E
240,83251,ELEC,St-Pascal,QC,CA,G0L 3Y0,E
242,83255,ELEC,Sudbury,ON,CA,P3B 1B1,E
244,83257,ELEC,Hamilton,ON,CA,L8E 2X4,E
245,83258,ELEC,Atikokan,ON,CA,P0T 1C0,E
247,83261,ELEC,Mount-Royal,QC,CA,H3P 2B6,E
248,83263,ELEC,Windsor,ON,CA,N9J 1Z9,E
