id,city,province_id,province_name,City_Population,Median_Income,Unemployment_Rate,City_Electricity_Rate,City_EV_registrations,City_EV_stations_locations,incentives_status,EV_Per_Province,No_Certificate_perc,Secondary_HS_perc,Apprenticeship_perc,College_CEGEP_perc,Univ_diploma_Below_Bachelor_perc,Univ_diploma_Above_Bachelor_perc
1124000296,Boucherville,QC,Quebec,40753,40800,7.2,7.3,0,24,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124502601,Mission,BC,British Columbia,38833,40800,7.4,12.6,484,7,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124618618,Vaudreuil-Dorion,QC,Quebec,38117,40800,7.2,7.3,0,26,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124000682,Brant,ON,Ontario,36707,41200,9.4,13,165,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124001501,Lakeshore,ON,Ontario,36611,41200,9.4,13,204,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124001408,Innisfil,ON,Ontario,36566,41200,9.4,13,234,12,NO,144128,17.5,27.4,6,20.8,2.2,26
1124158154,Prince Albert,SK,Saskatchewan,35926,42400,7,18.1,44,2,YES,2222,20.7,30.5,10.4,17.1,3.3,18
1124095065,Langford Station,BC,British Columbia,35342,40800,7.4,12.6,0,0,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124001093,Bradford West Gwillimbury,ON,Ontario,35325,41200,9.4,13,253,0,NO,144128,17.5,27.4,6,20.8,2.2,26
1124851971,Campbell River,BC,British Columbia,35138,40800,7.4,12.6,386,4,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124943146,Spruce Grove,AB,Alberta,34066,44800,10.9,16.6,0,2,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124806868,Moose Jaw,SK,Saskatchewan,33890,42400,7,18.1,74,5,YES,2222,20.7,30.5,10.4,17.1,3.3,18
1124613898,Penticton,BC,British Columbia,33761,40800,7.4,12.6,486,17,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124252668,Port Moody,BC,British Columbia,33551,40800,7.4,12.6,755,8,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124258797,Leamington,ON,Ontario,32991,41200,9.4,13,150,2,NO,144128,17.5,27.4,6,20.8,2.2,26
1124070905,East Kelowna,BC,British Columbia,32655,40800,7.4,12.6,0,0,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124563603,Côte-Saint-Luc,QC,Quebec,32448,40800,7.2,7.3,0,1,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124239138,Val-d’Or,QC,Quebec,31862,40800,7.2,7.3,0,0,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124623613,Owen Sound,ON,Ontario,31820,41200,9.4,13,249,7,NO,144128,17.5,27.4,6,20.8,2.2,26
1124676255,Stratford,ON,Ontario,31465,41200,9.4,13,0,10,NO,144128,17.5,27.4,6,20.8,2.2,26
1124051728,Lloydminster,SK,Saskatchewan,31410,42400,7,18.1,0,3,YES,2222,20.7,30.5,10.4,17.1,3.3,18
