,City,Province,City_ID,Population 2021,Land Area (sqKM),Median_Income($),Unemployment_rate(%),Vehicles_sold_since_2017,Number_of_stations
289,Biggar,Saskatchewan,2021A00054712046,2133.0,15.37,42400.0,7.0,0.0,0.0
290,Biggar No. 347,Saskatchewan,2021A00054712042,805.0,1576.09,42400.0,7.0,0.0,0.0
291,Billings,Ontario,2021A00053551021,753.0,208.81,41200.0,9.4,2.0,0.0
293,Birch Hills,Saskatchewan,2021A00054715068,1066.0,2.39,42400.0,7.0,0.0,0.0
294,Birch Hills No. 460,Saskatchewan,2021A00054715067,658.0,547.08,42400.0,7.0,0.0,0.0
295,Bird's Point,Saskatchewan,2021A00054705055,150.0,0.59,42400.0,7.0,0.0,0.0
296,Birdtail Creek 57,Manitoba,2021A00054615042,452.0,27.88,39200.0,7.6,1.0,0.0
297,Bjorkdale,Saskatchewan,2021A00054714041,147.0,1.36,42400.0,7.0,0.0,0.0
298,Bjorkdale No. 426,Saskatchewan,2021A00054714038,906.0,1438.66,42400.0,7.0,0.0,0.0
299,Black River 9,Manitoba,2021A00054619054,498.0,9.23,39200.0,7.6,0.0,0.0
300,Black River-Matheson,Ontario,2021A00053556014,2572.0,1161.89,41200.0,9.4,0.0,1.0
301,Black Sturgeon,Manitoba,2021A00054623800,149.0,23.84,39200.0,7.6,0.0,0.0
303,Bladworth,Saskatchewan,2021A00054711038,71.0,0.87,42400.0,7.0,0.0,0.0
304,Blaine Lake,Saskatchewan,2021A00054716016,509.0,1.86,42400.0,7.0,0.0,0.0
305,Blaine Lake No. 434,Saskatchewan,2021A00054716013,301.0,771.86,42400.0,7.0,0.0,0.0
306,Blandford-Blenheim,Ontario,2021A00053532045,7565.0,382.03,41200.0,9.4,22.0,0.0
307,Blind Creek 6,British Columbia,2021A00055907806,26.0,1.58,40800.0,7.4,0.0,0.0
308,Blind River,Ontario,2021A00053557038,3422.0,513.98,41200.0,9.4,5.0,3.0
311,Bloodvein 12,Manitoba,2021A00054619052,640.0,15.73,39200.0,7.6,0.0,0.0
312,Blucher No. 343,Saskatchewan,2021A00054711069,1984.0,789.4,42400.0,7.0,1.0,0.0
313,Blueberry River 205,British Columbia,2021A00055955803,145.0,13.13,40800.0,7.4,0.0,0.0
314,Bluewater,Ontario,2021A00053540010,7540.0,416.7,41200.0,9.4,23.0,0.0
315,Boissevain-Morton,Manitoba,2021A00054605032,2309.0,1102.38,39200.0,7.6,0.0,0.0
316,Bonaparte 3,British Columbia,2021A00055933812,159.0,7.06,40800.0,7.4,0.0,0.0
317,Bone Creek No. 108,Saskatchewan,2021A00054704058,362.0,834.81,42400.0,7.0,0.0,0.0
318,Bonfield,Ontario,2021A00053548027,2146.0,206.22,41200.0,9.4,2.0,0.0
319,Bonnechere Valley,Ontario,2021A00053547035,3898.0,588.36,41200.0,9.4,8.0,0.0
320,Boothroyd 13,British Columbia,2021A00055909850,0.0,0.86,40800.0,7.4,0.0,0.0
322,Borden,Saskatchewan,2021A00054716011,281.0,0.73,42400.0,7.0,0.0,0.0
323,Boston Bar 1A,British Columbia,2021A00055909836,0.0,0.4,40800.0,7.4,0.0,0.0
324,Bowen Island,British Columbia,2021A00055915062,4256.0,50.12,40800.0,7.4,89.0,1.0
325,Brabant Lake,Saskatchewan,2021A00054718825,27.0,0.65,42400.0,7.0,0.0,0.0
326,Bracebridge,Ontario,2021A00053544018,17305.0,615.2,41200.0,9.4,52.0,2.0
328,Bracken,Saskatchewan,2021A00054704008,20.0,0.63,42400.0,7.0,0.0,0.0
329,Bradford West Gwillimbury,Ontario,2021A00053543014,42880.0,200.68,41200.0,9.4,253.0,0.0
